 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 abd-i aziz _  izzetli ve şerefli kul.  
 abd-i hass _  hususî, has ve ayrıcalıklı kul Hz. Muhammed (asm).  
 abd-i külli _  bütün yaratıkların ibâdetlerini içine alan, onları temsil edebilen kul; insan.  
 abd-i mahsus _  seçilmiş kul olan Hz. Muhammed (a. s. m. ) 
 abd-i mü'min _  inanan kul.  
 abd-i müsebbih _  Allah'ı zikir ve tesbih eden kul.  
 abdal _  evliyâdan ziyâde nûraniyet kazanmış ve bir anda bir kaç yerde görünebilen zatlar, dünya ile alâkasını kesen ve Allah'ın sevgisiyle yoğrulmuş kişiler.  
 abdest _  namaz ve sâir dini ibâdetler için el ağız, burun yüz dirseklere kadar kolları ve topuk kemiğine kadar ayakları, usûlüne göre üçer defa yıkamak ve kulaklar, baş ve enseyi meshetmek.  
 Abdülkahir-i Cürcani _  Hicri beşinci asrın ikinci yarısında yaşamıştır. Büyük âlim ve Arapça'nın dâhi mütehassıslarındandır. Çok dindar ve takvâ sahibi idi.  
 abes _  boş, mânâsız, faydasız, hikmetsiz.  
 abesiyet-i mutlaka _  her yönüyle boş ve mânâsız olma.  
 abesiyet _  faydasız ve boş olma, lüzumsuz ve gâyesiz oluş.  
 âb-ı hayat _  hayat suyu, hayatın devamına vesile olan kan, ebedî hayata sebep olan mânevi değerler, kevser suyu.  
 âb-ı kevser _  Cennette bulunan ırmağın suyu.  
 âb-ı leziz _  lezzetli bir su.  
 âbid _  ibâdet eden.  
 âbide _  tapınak. İbâdet edilecek yer.  
 abüs _  asık ve ekşi yüzlü.  
 âbü'l·hayat-ı mârifet _  mârifet âb-ı hayatı.  
 acâib-i masnûât-i İlâhiye _  Allah'ın hayret ve şaşkınlık veren sanatlı yaratıkları.  
 acâib-i masnûât _  hayret ve şaşkınlık veren sanatlı yaratıklar.  
 acâib-i mülk ve melekût _  madde ve mânâ âlemindeki acaib ve gariplikler.  
 acâib-i sanat-ı İlâhiye _  Allah'ın, insanları şaşırtan hârika san'atları.  
 acâib-i sanat _  Allah'ın, insanları şaşırtan hârika san'atları; sanat hârikası.  
 acâib-i vezâif _  hayret verici vazifeler.  
 acâibü'l mahlukat _  hayret verici yaratıklar.  
 acâip _ şaşırtıcı ve hayret verici şeyler.  
 acbü'z-zeneb _ insanın kuyruk sokumunda bulunan ve ikinci yaratılışa çekirdek hükmünde olacak küçük kemik.  
 acemi _ tecrübesiz, yeni.  
 acib _  şaşılan ve hayret uyandıran şey 
 acaib _  benzeri görülmeyen; garip.  
 âciz-i mutlak _  her bakımdan güçsüz,tam âciz, sınırsız güçsüz.  
 âciz _  güçsüz, kuvvetsiz; kâbiliyetsiz, beceriksiz.  
 âcizâne _  âciz ve güçsüz bir şekilde.  
 âcize _  güçsüz, kâbiliyetsiz, beceriksiz.  
 ucûbe-i sanat _ sanat yönüyle hayret verici olan.  
 acz _ güçsüzlük, kuvvetsizlik; kulun Allah kârşısında hiçbir gücü olmadığını bilmesi.  
 acz-i beşeri _ insanın güçsüzlüğü.  
 acz-i mutlak _ her bakımdan güçsüzlük, tam âcizlik, sınırsız güçsüzlük.  
 aczâlûd _  âcizlik, kuvvetsizlik, güçsüzlük.  
 a'dâ _  düşmanlar.  
 âdâb _  usul, yol, yordam, davranış kâideleri, terbiye; ahlâk ve terbiyenin gerektirdiği konuşma ve hareket tarzı.  
 âdâb-ı Kur'âniye _  Kur'ân'ın ihtivâ ettiği edepler.  
 adâlet _  doğruluk, hakkaniyet.  
 adâlet-i hakikiye _  gerçek adâlet.  
 adâlet-i Kur'âniye _  Kur'ân'ın adâleti.  
 adâlet-i tâmme _  tam ve eksiksiz adâlet.  
 adâletperver _  adaletsever.  
 Adâletullah _  Allah'ın adâleti.  
 âdât _  âdetler, yapılan işler.  
 âdât-ı ecânib _  ecnebilerin âdetleri, yabancı anlayış ve âdetler.  
 âdât-ı içtimâiye _  sosyal âdetler, toplum anlayışı.  
 âdât-ı nâs _  insanların âdetleri.  
 adüvet _ düşmanlık, kızgınlık, kin.  
 adavetkârâne _  düşmancasına.  
 addetmek _  saymak.  
 aded-i mübârek _  mübârek, hayırlı miktar, sayı.  
 adem _  yokluk, hiçlik, olmama, bulunmama.  
 Âdem _  ilk insan ve ilk peygamber.  
 ademî _  yokluğa âit, yoklukla ilgili.  
 adem-i abesiyet _  boşluk ve lüzumsuzluğun olmayışı.  
 adem-i af _  affedilmez.  
 adem-i ifâ _  yapılması gerekli işi yapmama, vazifesini yerine getirmeme.  
 adem-i ilim _  ilmimiz ve bilgimiz dahilinde olmayan.  
 adem-i intizam _  intizamsızlık, düzensizlik.  
 adem-i israf _  israfsızlık.  
 adem-i kabul _  kabul etmeme.  
 adem-i mesuliyet _  sorumsuzluk, mesuliyetsizlik.  
 adem-i nimet _  nimetsizlik. Nimetin yokluğu.  
 adem-i rü'yet _ bir şeyin görünmemesi.  
 adem-i sırf _  yokluğa mahkum. Yokluk.  
 adem-i taalluk _  ilgisi olmayan, alakâsı bulunmayan.  
 adem-i tasdik _  tasdik etmeme, doğrulamama.  
 adem-i vukû _  olmamış gibi, olmadığına dâir.  
 adem-i vücud _  olmayan; yokluk.  
 ademâbad _  yokluğa gidiş. Yok oluş.  
 ademâlûd _  yokluğa karışmış, yok olmuş gibi.  
 ademistan _  yokluk yeri, yokluk ülkesi.  
 ademnümâ _  yokluk gösteren.  
 âdet-i İlâhiye _  Allah'ın âdeti, kânunu.  
 âdi _  basit, normal, her zaman yapılan, sıradan, üstünlük farkı olmayan.  
 Âdil _  âdâlet eden, her zaman adâletle hükmeden Allah.  
 Âdil-i Bilhak _  hakkıyla ve adâletle iş gören Allah.  
 Âdil-i Hakîm _  hikmet ve adâletle iş görüp tasarruf eden.  
 Âdil-i Mutlak _  her şeyin hakkını veren, zulûmden münezzeh olan ve sonsuz adâlet sahibi Allah.  
 Âdil-i Rahim _  adâlet ve rahmetiyle her işi gören Allah.  
 âdiyât _  her zaman meydana gelen hârikulâde ve birer mucize-i kudret olmakla beraber, insanlarca alışılmış olduğundan kıymeti bilinmeyen hâdiseler.  
 Adl _  adâlet, adâlet üzere oluş, doğruluk; Allah'ın bir ismi.  
 Adl-t Hakem _  adâlet ve hikmet sahibi Allah.  
 adliye _  mahkeme; muhâkeme işleriyle. uğraşan dâire.  
 adüvv _  düşman.  
 adüvv-ü kâfir _  kâfir düşman.  
 âfâk _  ufuklar; dış dünya.  
 âfâk-ı âlem _  âlemin ufukları.  
 âfâk-ı azamet-i Ulûhiyet _  İlâhlığın büyüklük ufukları.  
 âfâki _  dünyaya âit meseleler ve hâdiseler.  
 âfât _  âfetler, belâlar, musibetler, büyük felâketler.  
 âfiyet _  sağlık, selâmet, sıhhatli olmak.  
 afv _  affetmek.  
 afv-ı İlâhiye _  Cenâb-ı Hakkın affı.  
 ağdiye _  tekelcilik anlayışı.  
 ağleben _  ekseriyetle, genellikle.  
 ağsân _  dallar.  
 âğûş-u nâzdarâne _  nâzenin bir şekilde sarmalayan kucak.  
 ahâli _  halk, umum; bir memlekette oturanlar, yaşayanlar.  
 ahâli-i İslâmiye _  Müslüman halk.  
 âhar _  başkaları, diğerleri.  
 ahbâb-ı uhrevi _  âhiret dostları.  
 ahbap _  sevilenler, dostlar.  
 ahbâr _  haberler.  
 ahd _  söz vermek, vaad etmek.  
 ahenk _  uygunluk, düzgün tarz ve gidiş.  
 âhir _  son.  
 âhiret _  Kıyâmetten sonra kurulacak olan âlem, öte dünya, ikinci hayat.  
 âhir-i hayat _  hayatın sonu.  
 âhir-i ömr _  ömür sonu.  
 âhirzaman _  dünyanın son zamanı ve son devresi, dünya hayatının kıyâmete yakın son devresi, Peygamberimizin (a. s. m. ) yaşadığı devirden kıyâmete kadar olan zaman.  
 ahkâm _  hükümler, kânunlar, nizamlar, prensipler.  
 ahkâm-ı İlâhiye _  Allah'ın hükümleri.  
 ahkâm-ı imâniye _  inançla ilgili hükümler.  
 ahkâm-ı İslâmiye _  İslâm'ın hükümleri.  
 ahkâm-ı katiye-i İslâmiye _  İslâm'ın kesinleşmiş hüküm ve esasları.  
 ahkâm-ı kudsiye _  mukaddes hükümler.  
 ahkâm-ı mesture _  aslında var olup, gizli kalmış hükümler.  
 ahkâm-ı Rubûbiyet _  Cenâb-ı Hakkın terbiye ve idâre ediciliğinin hükümleri.  
 ahkâm-ı şer'iye _  şeriatın hüküm ve kâideleri, esasları.  
 ahkâm-ı şeriat _  dinin hükümleri, İslâmın hükümleri.  
 Ahkemü'l-Hâkimin _  Hâkimlerin Hâkimi.  
